scenario,n,bias,variance,coverage_classic,coverage_robust,type1_error_classic,type1_error_robust
autocorrelated,30,0.019427230170850535,0.005262310225835528,0.941,0.884,0.059,0.116
autocorrelated,100,0.0071389980796847914,0.001647754458870617,0.945,0.932,0.055,0.068
autocorrelated,500,0.0011157055888817546,0.00028967351068487747,0.957,0.959,0.043,0.041
baseline,30,-0.00511464219383469,0.0042404104363879536,0.953,0.928,0.047,0.072
baseline,100,-0.0023211211694379773,0.0011940905415669637,0.948,0.942,0.052,0.058
baseline,500,-0.0006274564134719774,0.0002278838532678909,0.958,0.952,0.042,0.048
heteroskedastic,30,-0.009319452939903793,0.014648658638239975,0.955,0.905,0.045,0.095
heteroskedastic,100,-0.003804161361723424,0.0042368323459644934,0.948,0.944,0.052,0.056
heteroskedastic,500,-0.0009855755142783953,0.0008028542945996651,0.956,0.953,0.044,0.047
non_normal,30,4.052437431000922e-06,0.004057016087166593,0.958,0.938,0.042,0.062
non_normal,100,-0.0006192061746794482,0.0011750221892008993,0.951,0.951,0.049,0.049
non_normal,500,0.0005346334819602774,0.0002482749045421725,0.949,0.949,0.051,0.051
